HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date;home_elo;away_elo
Villarreal;Valencia;H;1.95;3.5;3.8;SP1;2013-10-27;1729.62768555;1795.79907227
Atletico;Barcelona;A;3.3;3.2;2.3;SP1;2015-09-12;2057.40209961;2091.27978516
Elche;Vallecano;H;2.38;3.2;3.0;SP1;2014-01-18;1616.23254395;1613.93493652
Sociedad;Valencia;A;2.2;3.4;3.2;SP1;2013-09-29;1781.15087891;1790.18835449
Valencia;Ath Bilbao;H;1.91;3.5;4.2;SP1;2017-10-01;1745.98779297;1759.29980469
Getafe;Valladolid;D;1.9;3.2;4.75;SP1;2013-08-31;1671.39526367;1652.45715332
Real Madrid;Sociedad;H;1.25;6.5;10.0;SP1;2017-01-29;2039.82397461;1771.97265625
Ath Bilbao;Leganes;H;1.9;3.29;4.5;SP1;2018-03-11;1718.5949707;1636.5871582
Levante;Real Madrid;A;13.0;7.5;1.17;SP1;2014-10-18;1696.53381348;2046.41296387
Getafe;Vallecano;A;2.25;3.4;3.2;SP1;2015-01-04;1685.72058105;1668.33325195
Vallecano;Espanol;A;2.4;3.3;2.88;SP1;2013-11-24;1654.40002441;1683.37512207
Sociedad;Leganes;H;1.44;4.2;8.5;SP1;2018-05-12;1722.65222168;1623.42578125
Alaves;Espanol;A;2.5;3.1;3.1;SP1;2016-11-20;1630.32165527;1681.04797363
Espanol;Cordoba;H;1.57;3.8;6.5;SP1;2015-02-27;1702.78808594;1594.69091797
Sevilla;Real Madrid;H;3.6;3.8;1.95;SP1;2017-01-15;1848.80078125;2049.41308594
Eibar;Villarreal;D;3.4;3.0;2.3;SP1;2014-09-24;1633.47155762;1788.57006836
Betis;Vallecano;D;2.2;3.3;3.4;SP1;2016-02-27;1681.53662109;1681.66711426
Osasuna;Granada;A;2.0;3.3;3.75;SP1;2013-08-18;1679.30664062;1658.95959473
Getafe;Valencia;A;2.6;3.2;2.75;SP1;2013-11-03;1720.58459473;1769.3536377
Betis;Villarreal;H;2.79;3.39;2.5;SP1;2018-02-03;1647.80541992;1776.85083008
Valencia;Granada;H;1.5;4.1;6.5;SP1;2014-02-23;1790.39221191;1657.03649902
Celta;Sevilla;A;2.75;3.3;2.63;SP1;2016-12-11;1744.41943359;1809.93457031
Atletico;Valencia;H;1.33;4.75;10.0;SP1;2013-12-15;2021.05175781;1767.33312988
Espanol;Vallecano;H;1.8;3.6;4.5;SP1;2013-02-09;1685.99157715;1694.26818848
Real Madrid;Valencia;H;1.2;7.5;11.0;SP1;2016-05-08;2069.79345703;1768.9140625
Villarreal;Barcelona;D;8.5;5.25;1.33;SP1;2016-03-20;1836.703125;2096.6887207
Granada;Betis;D;2.3;3.25;3.25;SP1;2015-10-24;1631.05603027;1697.48706055
Valencia;Malaga;H;1.53;4.0;6.0;SP1;2013-08-17;1818.0357666;1758.10339355
Sociedad;Atletico;A;4.0;3.2;2.05;SP1;2015-10-18;1720.06494141;2052.21630859
